time_s,cx,cy,cz,theta,FB,FB_group,LR,height,spread,x_lr,y_fb,z_height,cy_smooth,cy_speed,zone
14.450000000000001,0.0,0.9999999180664999,1.2605153851784855e-08,1.5707963267948966,0.9999999180664999,0.9999999243690768,0.0,2.5210307703569714e-08,0.0004048048828771891,0.0,0.9999999180664999,1.2605153851784855e-08,0.999999918046879,-2.7137847524727476e-09,front_center_mid
14.46,0.0,0.9999999180231656,1.2611820691116424e-08,1.5707963267948966,0.9999999180231656,0.9999999243290759,0.0,2.522364138223285e-08,0.00040491191894689155,0.0,0.9999999180231656,1.2611820691116424e-08,0.9999999180114001,-4.046762924758696e-09,front_center_mid
14.47,0.0,0.9999999179675942,1.2620370118010785e-08,1.5707963267948966,0.9999999179675942,0.9999999242777793,0.0,2.5240740236021572e-08,0.00040504913855673227,0.0,0.9999999179675942,1.2620370118010785e-08,0.9999999179659438,-4.613875947967472e-09,front_center_mid
14.48,0.0,0.9999999179102974,1.2629185052683391e-08,1.5707963267948966,0.9999999179102974,0.9999999242248897,0.0,2.5258370105366785e-08,0.00040519057094985374,0.0,0.9999999179102974,1.2629185052683391e-08,0.9999999179191226,-4.305583667374435e-09,front_center_mid
14.49,0.0,0.9999999178621615,1.2636590547869095e-08,1.5707963267948966,0.9999999178621615,0.9999999241804568,0.0,2.5273181095738194e-08,0.00040530935125653137,0.0,0.9999999178621615,1.2636590547869095e-08,0.9999999178798321,-3.1784075371632525e-09,front_center_mid
14.5,0.0,0.9999999178323944,1.2641170084628324e-08,1.5707963267948966,0.9999999178323944,0.9999999241529796,0.0,2.528234016925665e-08,0.00040538278723800507,0.0,0.9999999178323944,1.2641170084628324e-08,0.9999999178555544,-1.4455492358678157e-09,front_center_mid
14.51,0.0,0.9999999178267134,1.264204411342668e-08,1.5707963267948966,0.9999999178267134,0.9999999241477353,0.0,2.5284088226853365e-08,0.00040539680137154083,0.0,0.9999999178267134,1.264204411342668e-08,0.9999999178509211,5.631606292411107e-10,front_center_mid
14.52,0.0,0.9999999178462056,1.2639045318519794e-08,1.5707963267948966,0.9999999178462056,0.9999999241657282,0.0,2.527809063703959e-08,0.00040534871682511336,0.0,0.9999999178462056,1.2639045318519794e-08,0.9999999178668176,2.4643898033360756e-09,front_center_mid
14.530000000000001,0.0,0.9999999178871306,1.2632749163055886e-08,1.5707963267948966,0.9999999178871306,0.9999999242035051,0.0,2.5265498326111776e-08,0.00040524774177978686,0.0,0.9999999178871306,1.2632749163055886e-08,0.9999999179002089,3.89562271330135e-09,front_center_mid
14.540000000000001,0.0,0.9999999179416442,1.262436244183295e-08,1.5707963267948966,0.9999999179416442,0.9999999242538254,0.0,2.5248724883665903e-08,0.000405113200045222,0.0,0.9999999179416442,1.262436244183295e-08,0.9999999179447301,4.585282153968251e-09,front_center_mid
