time_s,cx,cy,cz,theta,bed_FB,FB_group,bed_LR,bed_height,bed_spread,x_lr,y_fb,z_height,cy_smooth,cy_speed,zone,obj_cx,obj_cy,obj_cz,obj_spread
0.53,0.0,-0.7425470851382734,7.777062499894798e-09,-1.5707963267948966,-0.742546455257276,-0.8574195181003663,0.0,1.555450605023424e-08,0.6697945645140999,0.0,-0.7425470851382734,7.777062499894798e-09,-0.7425119906405816,0.2194139493898905,rear_center_mid,0.0,-0.894002638181869,0.0,0.0
0.54,0.0,-0.7403352891602382,7.753452393090076e-09,-1.5707963267948966,-0.7403347747604879,-0.8548655560964178,0.0,1.550765941297361e-08,0.672238347970281,0.0,-0.7403352891602382,7.753452393090076e-09,-0.7403005115100108,0.2228699192876715,rear_center_mid,0.0,-0.892002757740389,0.0,0.0
0.55,0.0,-0.7380886250670173,7.731169701965796e-09,-1.5707963267948966,-0.738088330403343,-0.8522713318609417,0.0,1.546332252024415e-08,0.6747040653889061,0.0,-0.7380886250670173,7.731169701965796e-09,-0.7380545922548282,0.2262839067572852,rear_center_mid,0.0,-0.8900027359076451,0.0,0.0
0.56,0.0,-0.7358078740471155,7.710752807834995e-09,-1.5707963267948966,-0.7358078556337573,-0.8496377474326643,0.0,1.5422534370115525e-08,0.6771903367568349,0.0,-0.7358078740471155,7.710752807834995e-09,-0.735774833374865,0.229627454394582,rear_center_mid,0.0,-0.8880028128604955,0.0,0.0
0.5700000000000001,0.0,-0.7334940878614964,7.692318016973244e-09,-1.5707963267948966,-0.7334943408147626,-0.8469660172805231,0.0,1.5385522490466758e-08,0.6796955263093766,0.0,-0.7334940878614964,7.692318016973244e-09,-0.7334620431669365,0.2328892894908119,rear_center_mid,0.0,-0.8860028898070423,0.0,0.0
0.58,0.0,-0.7311482907384581,7.675541047964918e-09,-1.5707963267948966,-0.731148786462871,-0.8442573240815225,0.0,1.535166352766531e-08,0.6822180168883566,0.0,-0.7311482907384581,7.675541047964918e-09,-0.7311170475850488,0.2360779296124604,rear_center_mid,0.0,-0.8840028679750292,0.0,0.0
0.59,0.0,-0.7287713381205954,7.65971875184715e-09,-1.5707963267948966,-0.7287719930615334,-0.8415126556157662,0.0,1.531960230112784e-08,0.6847564345777749,0.0,-0.7287713381205954,7.65971875184715e-09,-0.7287404845746873,0.239220307623883,rear_center_mid,0.0,-0.8820029875523532,0.0,0.0
0.6,0.0,-0.7263636471575784,7.643896766595797e-09,-1.5707963267948966,-0.726364339906192,-0.8387324935663114,0.0,1.5287505388551114e-08,0.6873098750947922,0.0,-0.7263636471575784,7.643896766595797e-09,-0.7263326414325711,0.2423573282679447,rear_center_mid,0.0,-0.8800030414445843,0.0,0.0
0.61,0.0,-0.7239250589953083,7.627048047724804e-09,-1.5707963267948966,-0.72392565915365,-0.835916654504361,0.0,1.5253406380993757e-08,0.6898780209303467,0.0,-0.7239250589953083,7.627048047724804e-09,-0.7238933380093284,0.2455365682281496,rear_center_mid,0.0,-0.8780030180801656,0.0,0.0
0.62,0.0,-0.7214548721509151,7.608269121164962e-09,-1.5707963267948966,-0.721455222350934,-0.8330643284273695,0.0,1.521557849136978e-08,0.6924611358007553,0.0,-0.7214548721509151,7.608269121164962e-09,-0.7214219100680082,0.2488023353550694,rear_center_mid,0.0,-0.8760031084734288,0.0,0.0
